"data","word"
" 05/04/2024","pictwittercomwpjoint"
" 05/04/2024","jean"
" 05/04/2024","paul"
" 05/04/2024","prates"
" 05/04/2024","jeanpaulprates"
" 05/04/2024","april"
" 04/04/2024","ações"
" 04/04/2024","companhia"
" 04/04/2024","forte"
" 04/04/2024","oscilação"
" 04/04/2024","após"
" 04/04/2024","especulações"
" 04/04/2024","troca"
" 04/04/2024","comando"
" 04/04/2024","gabriel"
" 04/04/2024","bosada"
" 04/04/2024","cnn"
" 04/04/2024","paulo"
" 04/04/2024","comissão"
" 04/04/2024","valores"
" 04/04/2024","mobiliários"
" 04/04/2024","cvm"
" 04/04/2024","abriu"
" 04/04/2024","processo"
" 04/04/2024","administrativo"
" 04/04/2024","nesta"
" 04/04/2024","quintafeira"
" 04/04/2024","analisar"
" 04/04/2024","informações"
" 04/04/2024","sobre"
" 04/04/2024","petrobras"
" 04/04/2024","após"
" 04/04/2024","especulações"
" 04/04/2024","sobre"
" 04/04/2024","possível"
" 04/04/2024","troca"
" 04/04/2024","comando"
" 04/04/2024","estatal"
" 04/04/2024","distribuição"
" 04/04/2024","dividendos"
" 04/04/2024","ações"
" 04/04/2024","companhia"
" 04/04/2024","sofreram"
" 04/04/2024","forte"
" 04/04/2024","oscilações"
" 04/04/2024","nesta"
" 04/04/2024","sessão"
" 04/04/2024","após"
" 04/04/2024","cnn"
" 04/04/2024","publicar"
" 04/04/2024","aloizio"
" 04/04/2024","mercadante"
" 04/04/2024","é"
" 04/04/2024","cotado"
" 04/04/2024","ocupar"
" 04/04/2024","presidência"
" 04/04/2024","estatal"
" 04/04/2024","substituição"
" 04/04/2024","jean"
" 04/04/2024","paul"
" 04/04/2024","prates"
" 04/04/2024","apuração"
" 04/04/2024","é"
" 04/04/2024","âncora"
" 04/04/2024","raquel"
" 04/04/2024","landim"
" 04/04/2024","papéis"
" 04/04/2024","preferenciais"
" 04/04/2024","petr"
" 04/04/2024","encerraram"
" 04/04/2024","dia"
" 04/04/2024","perda"
" 04/04/2024","r"
" 04/04/2024","enquanto"
" 04/04/2024","ordinários"
" 04/04/2024","petr"
" 04/04/2024","recuaram"
" 04/04/2024","r"
" 04/04/2024","cedo"
" 04/04/2024","ações"
" 04/04/2024","chegaram"
" 04/04/2024","subir"
" 04/04/2024","cvm"
" 04/04/2024","age"
" 04/04/2024","informações"
" 04/04/2024","provocam"
" 04/04/2024","fortes"
" 04/04/2024","oscilações"
" 04/04/2024","mercado"
" 04/04/2024","procedimento"
" 04/04/2024","aberto"
" 04/04/2024","outras"
" 04/04/2024","ocasiões"
" 04/04/2024","leia"
" 04/04/2024","segundo"
" 04/04/2024","apuração"
" 04/04/2024","atual"
" 04/04/2024","presidente"
" 04/04/2024","banco"
" 04/04/2024","nacional"
" 04/04/2024","desenvolvimento"
" 04/04/2024","econômico"
" 04/04/2024","social"
" 04/04/2024","bndes"
" 04/04/2024","sido"
" 04/04/2024","nomes"
" 04/04/2024","aventados"
" 04/04/2024","cargo"
" 04/04/2024","desde"
" 04/04/2024","transição"
" 04/04/2024","lista"
" 04/04/2024","presidente"
" 04/04/2024","luiz"
" 04/04/2024","inácio"
" 04/04/2024","lula"
" 04/04/2024","silva"
" 04/04/2024","presidente"
" 04/04/2024","estatal"
" 04/04/2024","pedido"
" 04/04/2024","conversa"
" 04/04/2024","definitiva"
" 04/04/2024","presidente"
" 04/04/2024","lula"
" 04/04/2024","executivo"
" 04/04/2024","estaria"
" 04/04/2024","incomodado"
" 04/04/2024","sequência"
" 04/04/2024","desentendimentos"
" 04/04/2024","ministro"
" 04/04/2024","minas"
" 04/04/2024","energia"
" 04/04/2024","mme"
" 04/04/2024","alexandre"
" 04/04/2024","silveira"
" 04/04/2024","estaria"
" 04/04/2024","considerando"
" 04/04/2024","deixar"
" 04/04/2024","cargo"
" 04/04/2024","nesta"
" 04/04/2024","manhã"
" 04/04/2024","ministros"
" 04/04/2024","fazenda"
" 04/04/2024","fernando"
" 04/04/2024","haddad"
" 04/04/2024","casa"
" 04/04/2024","civil"
" 04/04/2024","rui"
" 04/04/2024","costa"
" 04/04/2024","além"
" 04/04/2024","silveira"
" 04/04/2024","decidiram"
" 04/04/2024","durante"
" 04/04/2024","reunião"
" 04/04/2024","palácio"
" 04/04/2024","planalto"
" 04/04/2024","vão"
" 04/04/2024","defender"
" 04/04/2024","pagamento"
" 04/04/2024","dividendos"
" 04/04/2024","petrobras"
" 04/04/2024","acionistas"
" 04/04/2024","presidente"
" 04/04/2024","petrobras"
" 04/04/2024","comunicado"
" 04/04/2024","posição"
" 04/04/2024","ministros"
" 04/04/2024","haddad"
" 04/04/2024","rui"
" 04/04/2024","silveira"
" 04/04/2024","devem"
" 04/04/2024","agora"
" 04/04/2024","consultar"
" 04/04/2024","presidente"
" 04/04/2024","lula"
" 04/04/2024","bater"
" 04/04/2024","martelo"
" 04/04/2024","sobre"
" 04/04/2024","tema"
" 04/04/2024","mês"
" 04/04/2024","passado"
" 04/04/2024","empresa"
" 04/04/2024","decidiu"
" 04/04/2024","distribuir"
" 04/04/2024","dividendos"
" 04/04/2024","extraordinários"
" 04/04/2024","r"
" 04/04/2024","bilhões"
" 04/04/2024","acionistas"
" 04/04/2024","dinheiro"
" 04/04/2024","ficou"
" 04/04/2024","parado"
" 04/04/2024","conta"
" 04/04/2024","reserva"
" 04/04/2024","poderia"
" 04/04/2024","ser"
" 04/04/2024","usada"
" 04/04/2024","cobrir"
" 04/04/2024","futuros"
" 04/04/2024","investimentos"
" 04/04/2024","assembleia"
" 04/04/2024","geral"
" 04/04/2024","acionistas"
" 04/04/2024","irá"
" 04/04/2024","decidir"
" 04/04/2024","dia"
" 04/04/2024","abril"
" 04/04/2024","reuters"
" 04/04/2024","petrobras"
" 04/04/2024","informou"
" 04/04/2024","nesta"
" 04/04/2024","quintafeira"
" 04/04/2024","decisão"
" 04/04/2024","quanto"
" 04/04/2024","distribuição"
" 04/04/2024","dividendos"
" 04/04/2024","extraordinários"
" 04/04/2024","comentar"
" 04/04/2024","notícias"
" 04/04/2024","publicadas"
" 04/04/2024","mídia"
" 04/04/2024","jornal"
" 04/04/2024","globo"
" 04/04/2024","afirmou"
" 04/04/2024","cedo"
" 04/04/2024","ministros"
" 04/04/2024","governo"
" 04/04/2024","concordaram"
" 04/04/2024","sobre"
" 04/04/2024","pagamento"
" 04/04/2024","dividendos"
" 04/04/2024","extraordinários"
" 04/04/2024","sido"
" 04/04/2024","retidos"
" 04/04/2024","conselho"
" 04/04/2024","administração"
" 04/04/2024","março"
" 04/04/2024","leia"
" 04/04/2024","petrobras"
" 04/04/2024","lembrou"
" 04/04/2024","conselho"
" 04/04/2024","propôs"
" 04/04/2024","assembleia"
" 04/04/2024","geral"
" 04/04/2024","ordinária"
" 04/04/2024","valor"
" 04/04/2024","r"
" 04/04/2024","bilhões"
" 04/04/2024","referente"
" 04/04/2024","lucro"
" 04/04/2024","remanescente"
" 04/04/2024","exercício"
" 04/04/2024","integralmente"
" 04/04/2024","destinado"
" 04/04/2024","reserva"
" 04/04/2024","remuneração"
" 04/04/2024","capital"
" 04/04/2024","competência"
" 04/04/2024","aprovar"
" 04/04/2024","destinação"
" 04/04/2024","resultado"
" 04/04/2024","incluindo"
" 04/04/2024","pagamento"
" 04/04/2024","dividendos"
" 04/04/2024","é"
" 04/04/2024","assembleia"
" 04/04/2024","geral"
" 04/04/2024","acionistas"
" 04/04/2024","realizada"
" 04/04/2024","dia"
" 04/04/2024","abril"
" 04/04/2024","acrescentou"
" 04/04/2024","petrobras"
" 04/04/2024","possibilidade"
" 04/04/2024","troca"
" 04/04/2024","comando"
" 04/04/2024","empresa"
" 04/04/2024","ganhou"
" 04/04/2024","força"
" 04/04/2024","após"
" 04/04/2024","prates"
" 04/04/2024","pedir"
" 04/04/2024","conversa"
" 04/04/2024","definitiva"
" 04/04/2024","presidente"
" 04/04/2024","lula"
" 04/04/2024","douglas"
" 04/04/2024","portoda"
" 04/04/2024","cnn"
" 04/04/2024","paulo"
" 04/04/2024","presidente"
" 04/04/2024","petrobras"
" 04/04/2024","jean"
" 04/04/2024","paul"
" 04/04/2024","prates"
" 04/04/2024","ironizou"
" 04/04/2024","nesta"
" 04/04/2024","quintafeira"
" 04/04/2024","possibilidade"
" 04/04/2024","sair"
" 04/04/2024","empresa"
" 04/04/2024","postagem"
" 04/04/2024","x"
" 04/04/2024","antigo"
" 04/04/2024","twitter"
" 04/04/2024","mensagem"
" 04/04/2024","cita"
" 04/04/2024","sempre"
" 04/04/2024","ter"
" 04/04/2024","agenda"
" 04/04/2024","cheia"
